GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0060271	11	cilium assembly	-1.5299965011155	NA	solitary_specific	NA	NA	-1.89565603907921	group_specific	NA
GO:0044092	12	negative regulation of molecular function	-1.58569059868452	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0050803	21	regulation of synapse structure or activity	1.78489599263917	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0051492	2	regulation of stress fiber assembly	-1.85394002631286	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0030837	2	negative regulation of actin filament polymerization	-1.74306952938244	-1.93139499469749	shared_same_direction	-0.18832546531505	NA	NA	NA	NA
GO:0002764	4	immune response-regulating signaling pathway	-1.62612242103897	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0170034	22	L-amino acid biosynthetic process	1.76571272982768	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0032956	2	regulation of actin cytoskeleton organization	-1.56819573869986	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0046394	10	carboxylic acid biosynthetic process	1.59186681135946	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0032970	2	regulation of actin filament-based process	-1.52419245353787	-1.64292598704121	shared_same_direction	-0.11873353350334	NA	NA	NA	NA
GO:0031589	3	cell-substrate adhesion	NA	-2.08321786221698	group_specific	NA	NA	NA	NA	NA
GO:0006082	10	organic acid metabolic process	NA	1.66029124391292	group_specific	NA	NA	NA	NA	NA
GO:1902969	10	mitotic DNA replication	NA	2.2191395318497	group_specific	NA	NA	NA	NA	NA
GO:1902904	2	negative regulation of supramolecular fiber organization	NA	-1.9925397533096	group_specific	NA	NA	NA	NA	NA
GO:0051494	2	negative regulation of cytoskeleton organization	NA	-1.96435377478484	group_specific	NA	NA	NA	NA	NA
GO:0002377	13	immunoglobulin production	NA	-1.99300627342235	group_specific	NA	NA	NA	NA	NA
GO:0006412	10	translation	NA	1.57879681953851	group_specific	NA	2.20791367427615	1.85632919272453	shared_same_direction	-0.35158448155162
GO:0071826	11	protein-RNA complex organization	NA	1.85026632687965	group_specific	NA	1.95434036617952	NA	solitary_specific	NA
GO:0022618	11	protein-RNA complex assembly	NA	1.85438633665292	group_specific	NA	1.88583377506946	NA	solitary_specific	NA
GO:0006399	13	tRNA metabolic process	NA	1.70112619781185	group_specific	NA	NA	NA	NA	NA
GO:0140053	13	mitochondrial gene expression	NA	1.91268885476765	group_specific	NA	1.78599221576528	1.85899585652198	shared_same_direction	0.0730036407567001
GO:0032535	11	regulation of cellular component size	NA	-1.60258011873843	group_specific	NA	NA	NA	NA	NA
GO:0098609	3	cell-cell adhesion	NA	-1.38415767352614	group_specific	NA	NA	NA	NA	NA
GO:0009615	6	response to virus	NA	1.94755493962004	group_specific	NA	NA	NA	NA	NA
GO:0170040	23	proteinogenic amino acid catabolic process	NA	1.84630108328171	group_specific	NA	NA	NA	NA	NA
