cluster	GO	Description	set	padj	NES
18	GO:0044282	small molecule catabolic process	both	Multifasciatus:0.00791;Meeli:0.00566	Multifasciatus:1.61;Meeli:1.67
18	GO:1901137	carbohydrate derivative biosynthetic process	both	Multifasciatus:0.0293;Meeli:0.000131	Multifasciatus:1.39;Meeli:1.66
18	GO:0043413	macromolecule glycosylation	Meeli	0.00208	1.73
18	GO:0070085	glycosylation	Meeli	0.00222	1.75
18	GO:0044283	small molecule biosynthetic process	Meeli	0.00555	1.59
18	GO:0046034	ATP metabolic process	Meeli	0.00841	1.74
18	GO:0006066	alcohol metabolic process	Meeli	0.0496	1.46
19	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	Multifasciatus	0.0103	1.94
19	GO:0002684	positive regulation of immune system process	Meeli	0.000192	1.77
19	GO:0002696	positive regulation of leukocyte activation	Meeli	0.00112	1.78
19	GO:0006955	immune response	Meeli	0.00115	1.54
19	GO:0050778	positive regulation of immune response	Meeli	0.00808	1.75
20	GO:0006805	xenobiotic metabolic process	Multifasciatus	0.0117	1.91
20	GO:0009410	response to xenobiotic stimulus	Multifasciatus	0.0117	1.91
20	GO:0006979	response to oxidative stress	Multifasciatus	0.0409	1.61
20	GO:0035967	cellular response to topologically incorrect protein	Meeli	0.0209	1.7
20	GO:0035966	response to topologically incorrect protein	Meeli	0.0272	1.64
23	GO:0051051	negative regulation of transport	Multifasciatus	0.0181	1.77
23	GO:0002791	regulation of peptide secretion	Meeli	0.0102	1.94
23	GO:0032411	positive regulation of transporter activity	Meeli	0.018	-1.95
23	GO:0032414	positive regulation of ion transmembrane transporter activity	Meeli	0.018	-1.95
23	GO:0010766	negative regulation of sodium ion transport	Meeli	0.0211	-1.94
23	GO:0051048	negative regulation of secretion	Meeli	0.0391	1.8
24	GO:0055074	calcium ion homeostasis	both	Multifasciatus:0.0215;Meeli:0.0446	Multifasciatus:-1.65;Meeli:-1.52
24	GO:0006874	intracellular calcium ion homeostasis	both	Multifasciatus:0.0293;Meeli:0.0341	Multifasciatus:-1.61;Meeli:-1.6
24	GO:0048878	chemical homeostasis	Multifasciatus	0.0393	-1.37
24	GO:0050801	monoatomic ion homeostasis	Meeli	0.00542	-1.57
24	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	Meeli	0.00709	-1.87
24	GO:0051453	regulation of intracellular pH	Meeli	0.018	-1.86
24	GO:0031647	regulation of protein stability	Meeli	0.0204	1.88
25	GO:0040007	growth	Multifasciatus	0.0246	-1.6
25	GO:0048640	negative regulation of developmental growth	Multifasciatus	0.0345	-1.69
25	GO:0048589	developmental growth	Multifasciatus	0.0403	-1.59
25	GO:0040011	locomotion	Multifasciatus	0.0413	-1.4
25	GO:0045926	negative regulation of growth	Multifasciatus	0.0496	-1.69
25	GO:0007610	behavior	Meeli	0.00735	1.93
25	GO:0040013	negative regulation of locomotion	Meeli	0.05	-1.62
